Pop,X,Y,DAUID,Extra Time (seconds),Extra time (min)
18,6984079.669,728208.4552,35370561,-532.5,-8.875
19,6981394.752,728086.8109,35370562,-532.5,-8.875
16,6976662.512,729043.5965,35370568,-362,-6.033333333
17,6947361.46,718254.8306,35370681,21.5,0.358333333
22,6981755.82,729959.2078,35370560,-489,-8.15
23,6945001.434,724215.1039,35370321,151.5,2.525
20,6945377.385,724401.8973,35370323,183,3.05
21,6945629.695,724349.2558,35370324,166,2.766666667
106,6968286.774,713170.74,35370647,-675.5,-11.25833333
107,6968875.959,712049.4502,35370644,-676.5,-11.275
104,6968434.156,712550.2558,35370646,-676.5,-11.275
105,6945975.872,705779.4558,35370869,-230.5,-3.841666667
110,6951643.649,721035.7227,35370522,-45,-0.75
111,6951523.346,722258.4718,35370525,26,0.433333333
108,6952124.057,721604.803,35370521,-53,-0.883333333
109,6968401.535,712330.6758,35370645,-676.5,-11.275
98,6954781.301,720130.5137,35370659,-361,-6.016666667
99,6969582.535,713367.654,35370642,-700,-11.66666667
96,6945290.5,706906.7601,35370743,-236,-3.933333333
97,6945282.605,707375.2318,35370744,-128,-2.133333333
102,6968925.971,713191.8714,35370641,-675.5,-11.25833333
103,6945118.346,706354.3684,35370868,-248,-4.133333333
100,6969325.821,712591.5058,35370643,-676.5,-11.275
101,6968644.917,713351.4023,35370640,-675.5,-11.25833333
122,6978070.713,699492.4183,35370776,-676,-11.26666667
123,6978181.934,699989.8908,35370777,-676.5,-11.275
120,6977517.219,699701.2105,35370778,-676.5,-11.275
121,6977394.878,698977.646,35370779,-675.5,-11.25833333
126,6977464.028,698171.9954,35370770,-676,-11.26666667
127,6978079.279,698196.3508,35370771,-676.5,-11.275
124,6968229.122,713945.9493,35370648,-676.5,-11.275
125,6967352.052,713561.1593,35370649,-675.5,-11.25833333
114,6951704.243,721890.5093,35370523,-10,-0.166666667
115,6951063.278,722267.303,35370524,149,2.483333333
112,6947904.196,707858.3038,35370747,-328,-5.466666667
113,6950664.621,710882.0538,35370748,-324.5,-5.408333333
118,6977989.506,698812.5655,35370772,-675.5,-11.25833333
119,6978623.381,698729.6854,35370773,-676,-11.26666667
116,6978865.68,698317.7704,35370774,-676.5,-11.275
117,6978488.658,699524.0283,35370775,-676.5,-11.275
74,6955257.375,720414.8829,35370658,-402.5,-6.708333333
75,6957247.142,722770.4966,35370655,-754,-12.56666667
72,6961654.03,716076.0197,35370652,-676.5,-11.275
73,6954819.724,720500.7961,35370657,-345.5,-5.758333333
78,6955035.784,726083.9027,35370863,-54,-0.9
79,6963024.328,696963.6083,35370758,-497,-8.283333333
76,6955132.667,721115.8622,35370656,-430.5,-7.175
77,6955580.96,725926.1152,35370862,-146.5,-2.441666667
66,6981037.105,710042.6531,35370629,-690.5,-11.50833333
67,6978255.62,716887.329,35370626,-547.5,-9.125
64,6963282.248,695915.7413,35370755,-496,-8.266666667
65,6980571.871,713467.468,35370628,-685,-11.41666667
70,6959675.083,720746.4322,35370654,-788,-13.13333333
71,6967686.14,718264.1618,35370651,-692.5,-11.54166667
68,6984032.304,720093.2646,35370627,-489.5,-8.158333333
69,6959246.239,717849.8453,35370653,-676,-11.26666667
90,6945834.933,724346.8929,35370416,199,3.316666667
91,6944578.499,720776.3502,35370413,75,1.25
88,6944519.134,705004.181,35370741,-122.5,-2.041666667
89,6945775.768,724026.6496,35370415,126,2.1
94,6945236.558,710173.0089,35370745,-128,-2.133333333
95,6947132.234,711320.1311,35370746,-292.5,-4.875
92,6944735.026,703606.0964,35370740,-123,-2.05
93,6944908.738,722989.7697,35370414,91.5,1.525
82,6966520.254,714952.0852,35370650,-683,-11.38333333
83,6955422.941,726519.7659,35370861,-144.5,-2.408333333
80,6954936.285,726734.2214,35370860,-18.5,-0.308333333
81,6962338.401,696773.4283,35370759,-471,-7.85
86,6954625.694,726836.4588,35370864,75.5,1.258333333
87,6955519.4,725537.1599,35370865,-196,-3.266666667
84,6948108.422,722935.1454,35370866,74.5,1.241666667
85,6948767.984,723403.9666,35370867,116,1.933333333
426,6945325.095,716993.0129,35370708,75.5,1.258333333
427,6945517.021,702594.6444,35370730,-187.5,-3.125
424,6945250.386,716633.8867,35370709,75.5,1.258333333
425,6946755.096,719327.1418,35370707,75.5,1.258333333
430,6946092.048,701676.8405,35370735,-271.5,-4.525
431,6945535.75,701696.8797,35370732,-238,-3.966666667
428,6945576.79,702085.0794,35370731,-170,-2.833333333
429,6946184.366,701367.1034,35370734,-305.5,-5.091666667
418,6988645.078,702589.5091,35370831,-676.5,-11.275
419,6945198.19,718723.9122,35370705,75,1.25
416,6987016.11,702529.1935,35370833,-676.5,-11.275
417,6988311.377,701350.4548,35370834,-676.5,-11.275
422,6944284.598,718025.5063,35370703,75,1.25
423,6944594.6,718598.7406,35370704,75.5,1.258333333
420,6987345.283,701240.2727,35370832,-676.5,-11.275
421,6946524.927,718912.1571,35370706,75,1.25
443,6948326.236,727368.49,35370194,796,13.26666667
440,6961681.408,728228.8255,35370611,-294,-4.9
441,6961923.454,728093.827,35370612,-294,-4.9
446,6947940.602,727311.5668,35370192,636.5,10.60833333
447,6991391.34,724483.6995,35370822,-532.5,-8.875
444,6948555.003,727377.5358,35370195,708,11.8
